feature,coef,abs_coef
num__Tenure,-1.7605264654219561,1.7605264654219561
num__TotalCharges,1.0943116779970383,1.0943116779970383
cat__Contract_Two year,-0.726696423177856,0.726696423177856
cat__Contract_Month-to-month,0.653292255551493,0.653292255551493
cat__InternetService_Fiber optic,0.6445740552512466,0.6445740552512466
cat__InternetService_DSL,-0.5845079363526178,0.5845079363526178
num__DailyCharges,-0.37102536043606726,0.37102536043606726
num__MonthlyCharges,-0.371025360436038,0.371025360436038
cat__PaperlessBilling_No,-0.3371689809541109,0.3371689809541109
cat__PaymentMethod_Electronic check,0.33253280272390107,0.33253280272390107
cat__OnlineSecurity_No internet service,-0.26291881708774356,0.26291881708774356
cat__InternetService_No,-0.26291881708774356,0.26291881708774356
cat__StreamingTV_No internet service,-0.26291881708774356,0.26291881708774356
cat__TechSupport_No internet service,-0.26291881708774356,0.26291881708774356
cat__DeviceProtection_No internet service,-0.26291881708774356,0.26291881708774356
cat__OnlineBackup_No internet service,-0.26291881708774356,0.26291881708774356
cat__StreamingMovies_No internet service,-0.26291881708774356,0.26291881708774356
cat__Dependents_Yes,-0.25951297880614066,0.25951297880614066
cat__MultipleLines_No,-0.2277769279646262,0.2277769279646262
cat__TechSupport_No,0.22648145552006804,0.22648145552006804
cat__StreamingMovies_Yes,0.21662474631336778,0.21662474631336778
cat__PaymentMethod_Bank transfer (automatic),-0.18911283747206675,0.18911283747206675
cat__PaymentMethod_Credit card (automatic),-0.1739424691956989,0.1739424691956989
cat__PaymentMethod_Mailed check,-0.17233019424529378,0.17233019424529378
cat__TechSupport_Yes,-0.16641533662146407,0.16641533662146407
cat__StreamingTV_Yes,0.16601669948766648,0.16601669948766648
cat__StreamingMovies_No,-0.15655862741475307,0.15655862741475307
cat__OnlineSecurity_No,0.14688244047983026,0.14688244047983026
cat__Partner_Yes,-0.13687024565758732,0.13687024565758732
cat__PaperlessBilling_Yes,0.13431628276498625,0.13431628276498625
cat__Contract_One year,-0.12944853056294628,0.12944853056294628
cat__MultipleLines_Yes,0.12595808268522998,0.12595808268522998
cat__Gender_Male,-0.12595129681119663,0.12595129681119663
cat__StreamingTV_No,-0.10595058058909418,0.10595058058909418
cat__SeniorCitizen_No,-0.10531665570398518,0.10531665570398518
cat__PhoneService_Yes,-0.10181884527935887,0.10181884527935887
cat__PhoneService_No,-0.10103385290980513,0.10103385290980513
cat__MultipleLines_No phone service,-0.10103385290980513,0.10103385290980513
cat__DeviceProtection_Yes,0.09783695903440336,0.09783695903440336
cat__SeniorCitizen_Yes,-0.09753604248520463,0.09753604248520463
cat__OnlineSecurity_Yes,-0.0868163215812748,0.0868163215812748
cat__Gender_Female,-0.07690140137779805,0.07690140137779805
cat__OnlineBackup_No,0.07148608619775648,0.07148608619775648
cat__Partner_No,-0.06598245253165033,0.06598245253165033
cat__Dependents_No,0.056660280616906304,0.056660280616906304
cat__DeviceProtection_No,-0.03777084013597739,0.03777084013597739
cat__OnlineBackup_Yes,-0.011419967299498287,0.011419967299498287
